gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
011446,01,000003,19640331,20150701,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MEADWESTVACO CORP,MWV,583334107,0001159297,2631,322130
001356,01,000003,19640331,20161031,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ALCOA INC,AA.3,013817507,,3720,3364
008606,01,000003,19640331,20170228,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PITNEY BOWES INC,PBI,724479100,0000078814,3579,333318
001976,01,000003,19640331,20170704,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BAKER HUGHES INC,BHI,057224107,0000808362,1381,213111
004087,01,000003,19640331,20170831,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DU PONT (E I) DE NEMOURS,DD.2,263534109,0000030554,2820,3252
008264,01,000003,19640331,20190117,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PG&E CORP,PCG,69331C108,0001004980,4931,2211
005234,01,000003,19640331,20190226,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GOODYEAR TIRE & RUBBER CO,GT,382550101,0000042582,3011,326211
004060,01,000003,19640331,20190602,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DUPONT DE NEMOURS INC,DD,26614N102,0001666700,2821,325211
009667,01,000003,19640630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SHERWIN-WILLIAMS CO,SHW,824348106,0000089800,2851,325510
003650,01,000003,19650331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CUMMINS INC,CMI,231021106,0000026172,3510,333618
004321,01,000003,19650331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,EMERSON ELECTRIC CO,EMR,291011104,0000032604,3823,334513
009465,01,000003,19650331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SCHLUMBERGER LTD,SLB,806857108,0000087347,1389,213112
001920,01,000003,19670630,20150322,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AVON PRODUCTS,AVP,054303102,0000008868,2844,325620
002574,01,000003,19670930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CSX CORP,CSX,126408103,0000277948,4011,482111
007260,01,000003,19680630,20110103,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MEREDITH CORP,MDP,589433101,0000065011,2721,511120
003121,01,000003,19690331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CLOROX CO/DE,CLX,189054109,0000021076,2842,325612
005071,01,000003,19690331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GENERAL MILLS INC,GIS,370334104,0000040704,2040,311230
010156,01,000003,19690331,20121004,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SUNOCO INC,SUN.1,86764P109,0000095304,2911,324110
007881,01,000003,19690630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NEWMONT GOLDCORP CORP,NEM,651639106,0001164727,1040,212221
007154,01,000003,19700630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MCDONALD'S CORP,MCD,580135101,0000063908,5812,722513
006730,01,000003,19701231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,LILLY (ELI) & CO,LLY,532457108,0000059478,2834,325412
002086,01,000003,19720930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BAXTER INTERNATIONAL INC,BAX,071813109,0000010456,2834,325412
002111,01,000003,19720930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BECTON DICKINSON & CO,BDX,075887109,0000010795,3841,339112
010332,01,000003,19730331,20110630,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,RS LEGACY CORP,RSHCQ,74979E101,0000096289,5731,443142
006266,01,000003,19730630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,JOHNSON & JOHNSON,JNJ,478160104,0000200406,2834,325412
005125,01,000003,19731231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GENUINE PARTS CO,GPC,372460105,0000040987,5013,423120
005606,01,000003,19741231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HP INC,HPQ,40434L105,0000047217,3570,33411
011506,01,000003,19750331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WILLIAMS COS INC,WMB,969457100,0000107263,4922,486210
002044,01,000003,19750630,20180102,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BARD (C.R.) INC,BCR,067383109,0000009892,3841,339112
004988,01,000003,19751231,20170601,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TEGNA INC,TGNA,87901J105,0000039899,4833,515120
006078,01,000003,19760331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,INTL FLAVORS & FRAGRANCES,IFF,459506101,0000051253,2860,325199
002255,01,000003,19760331,20100314,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BLACK & DECKER CORP,BDK,091797100,0000012355,3540,333991
001447,01,000003,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,522210
002547,01,000003,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CIGNA CORP,CI,125523100,0001739940,6324,524114
002968,01,000003,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,JPMORGAN CHASE & CO,JPM,46625H100,0000019617,6020,522110
003505,01,000003,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MOLSON COORS BREWING CO,TAP,60871R209,0000024545,2082,312120
003980,01,000003,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DISNEY (WALT) CO,DIS,254687106,0001744489,4888,515120
004093,01,000003,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DUKE ENERGY CORP,DUK,26441C204,0001326160,4931,2211
004517,01,000003,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NEXTERA ENERGY INC,NEE,65339F101,0000753308,4911,22111
006742,01,000003,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,LINCOLN NATIONAL CORP,LNC,534187109,0000059558,6311,524113
007647,01,000003,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BANK OF AMERICA CORP,BAC,060505104,0000070858,6020,522110
008007,01,000003,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WELLS FARGO & CO,WFC,949746101,0000072971,6020,522110
003024,01,000003,19760630,20160118,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CHUBB CORP,CB.1,171232101,0000020171,6331,524126
001177,01,000003,19760630,20181202,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AETNA INC,AET,00817Y108,0001122304,6324,524114
003813,01,000003,19761231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TARGET CORP,TGT,87612E106,0000027419,5331,452319
006008,01,000003,19761231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,INTEL CORP,INTC,458140100,0000050863,3674,334413
007772,01,000003,19761231,20110925,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NATIONAL SEMICONDUCTOR CORP,NSM.2,637640103,0000070530,3674,334413
002154,01,000003,19780930,20141204,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BEMIS CO INC,BMS,081437105,0000011199,2670,326112
010519,01,000003,19781231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TEXTRON INC,TXT,883203101,0000217346,3721,336411
010405,01,000003,19781231,20150701,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ALLEGHENY TECHNOLOGIES INC,ATI,01741R102,0001018963,3350,331491
007750,01,000003,19790331,20160417,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TENET HEALTHCARE CORP,THC,88033G407,0000070318,8062,622110
011060,01,000003,19790630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,VF CORP,VFC,918204108,0000103379,2320,315220
011264,01,000003,19791231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WALGREENS BOOTS ALLIANCE INC,WBA,931427108,0001618921,5912,446110
001487,01,000003,19800331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331,524126
004818,01,000003,19800331,20190603,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,FLUOR CORP,FLR,343412102,0001124198,1600,237990
004598,01,000003,19801231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,FEDEX CORP,FDX,31428X106,0001048911,4513,492110
008253,01,000003,19801231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PACCAR INC,PCAR,693718108,0000075362,3711,336120
001891,01,000003,19810331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,518210
005256,01,000003,19810630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GRAINGER (W W) INC,GWW,384802104,0000277135,5000,42
007085,01,000003,19810630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MASCO CORP,MAS,574599106,0000062996,3430,332913
003336,01,000003,19810630,20151130,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DXC TECHNOLOGY CO,DXC,23355L106,0001688568,7370,541512
001722,01,000003,19810729,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,31122
009411,01,000003,19810930,20120628,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HILLSHIRE BRANDS CO,HSH,432589109,0000023666,2013,311612
007116,01,000003,19820331,20190606,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MATTEL INC,MAT,577081102,0000063276,3942,339930
011259,01,000003,19820831,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WALMART INC,WMT,931142103,0000104169,5331,452319
009778,01,000003,19820930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SNAP-ON INC,SNA,833034101,0000091440,3420,332216
010016,01,000003,19820930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,STANLEY BLACK & DECKER INC,SWK,854502101,0000093556,3540,333991
002435,01,000003,19821031,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BROWN FORMAN CORP,BF.B,115637209,0000014693,2085,312140
001690,01,000003,19821130,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,APPLE INC,AAPL,037833100,0000320193,3663,334220
008068,01,000003,19821231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,OCCIDENTAL PETROLEUM CORP,OXY,674599105,0000797468,1311,2111
009299,01,000003,19821231,20170618,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,RYDER SYSTEM INC,R,783549108,0000085961,7510,532120
003362,01,000003,19830831,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CONAGRA BRANDS INC,CAG,205887102,0000023217,2000,31142
006733,01,000003,19830930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,L BRANDS INC,LB,501797104,0000701985,5600,448190
002136,01,000003,19831130,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,VERIZON COMMUNICATIONS INC,VZ,92343V104,0000732712,4812,517312
009899,01,000003,19831130,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AT&T INC,T,00206R102,0000732717,4812,517312
061489,01,000003,19831130,20110331,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,QWEST COMMUNICATION INTL INC,Q.2,749121109,0001037949,4813,517110
006829,01,000003,19840229,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,LOWE'S COS INC,LOW,548661107,0000060667,5211,444110
008823,01,000003,19840430,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PULTEGROUP INC,PHM,745867101,0000822416,1531,236117
001380,01,000003,19840531,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HESS CORP,HES,42809H107,0000004447,1311,2111
001161,01,000003,19840630,20130922,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ADVANCED MICRO DEVICES,AMD,007903107,0000002488,3674,334413
006774,01,000003,19840731,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,LOCKHEED MARTIN CORP,LMT,539830109,0000936468,3760,336414
004040,01,000003,19840731,20121211,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DONNELLEY (R R) & SONS CO,RRD,257867200,0000029669,2750,32311
005518,01,000003,19840930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HASBRO INC,HAS,418056107,0000046080,3944,339930
001988,01,000003,19841031,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BALL CORP,BLL,058498106,0000009389,3411,332431
007866,01,000003,19841130,20101219,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NEW YORK TIMES CO  -CL A,NYT,650111107,0000071691,2711,511110
010190,01,000003,19850131,20120430,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SUPERVALU INC,SVU,868536301,0000095521,5141,424410
009258,01,000003,19850131,20140818,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ROWAN COMPANIES PLC,RDC,G7665A101,0000085408,1381,213111
001209,01,000003,19850430,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AIR PRODUCTS & CHEMICALS INC,APD,009158106,0000002969,2810,325120
008030,01,000003,19850430,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NUCOR CORP,NUE,670346105,0000073309,3312,331110
004145,01,000003,19850531,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PERKINELMER INC,PKI,714046109,0000031791,3826,334516
